Generated Airfoil
1.000000 0.000000
1.000517 0.002683
1.000328 0.002795
1.000121 0.002922
0.999899 0.003036
0.999674 0.003184
0.999415 0.003320
0.999126 0.003501
0.998838 0.003676
0.998515 0.003852
0.998174 0.004052
0.997795 0.004293
0.997404 0.004514
0.996960 0.004810
0.996486 0.005069
0.995984 0.005331
0.995411 0.005665
0.994834 0.006004
0.994187 0.006408
0.993491 0.006797
0.992713 0.007245
0.991899 0.007705
0.991011 0.008181
0.990083 0.008747
0.989013 0.009428
0.987910 0.010012
0.986671 0.010708
0.985375 0.011503
0.983960 0.012290
0.982450 0.013155
0.980759 0.014067
0.978950 0.015091
0.976985 0.016219
0.974902 0.017326
0.972610 0.018711
0.970126 0.020035
0.967490 0.021425
0.964512 0.022975
0.961356 0.024629
0.957970 0.026372
0.954307 0.028266
0.950323 0.030371
0.945964 0.032622
0.941328 0.034771
0.936247 0.037278
0.930685 0.040185
0.924665 0.042963
0.918170 0.046311
0.911079 0.049398
0.903397 0.052797
0.894979 0.056506
0.885997 0.060437
0.876491 0.064976
0.865673 0.069141
0.854330 0.073897
0.841617 0.078410
0.828213 0.083880
0.813489 0.089259
0.797453 0.094567
0.779949 0.100534
0.760707 0.105957
0.739903 0.111686
0.717270 0.117328
0.692950 0.124004
0.666912 0.129274
0.638199 0.135250
0.606787 0.141175
0.572902 0.146110
0.536144 0.150808
0.499073 0.155342
0.464376 0.157765
0.431693 0.160431
0.400920 0.162138
0.371683 0.163337
0.344160 0.163173
0.318561 0.163068
0.294173 0.161189
0.271725 0.160455
0.250482 0.157649
0.230071 0.154236
0.211927 0.153036
0.193865 0.148753
0.177331 0.145040
0.162224 0.140956
0.148412 0.136794
0.135010 0.132586
0.122286 0.127921
0.111075 0.123342
0.100277 0.119110
0.090975 0.114780
0.082034 0.110665
0.073039 0.105428
0.065826 0.101365
0.058219 0.096342
0.051576 0.091845
0.045482 0.087179
0.040290 0.082478
0.035141 0.078073
0.030500 0.073699
0.026375 0.069688
0.022680 0.065731
0.019435 0.061795
0.016452 0.057931
0.013691 0.054265
0.011494 0.050693
0.009406 0.047230
0.007620 0.043706
0.006110 0.040536
0.004703 0.037395
0.003651 0.034400
0.002467 0.031571
0.001771 0.028829
0.001065 0.026206
0.000511 0.023746
0.000098 0.021405
-0.000205 0.019223
-0.000428 0.017139
-0.000609 0.015190
-0.000722 0.013350
-0.000781 0.011615
-0.000817 0.009976
-0.000744 0.008440
-0.000710 0.006999
-0.000599 0.005640
-0.000503 0.004369
-0.000406 0.003171
-0.000275 0.002047
-0.000149 0.000989
0.000000 0.000000
0.000158 -0.000991
0.000344 -0.002046
0.000562 -0.003162
0.000813 -0.004345
0.001097 -0.005616
0.001424 -0.006993
0.001820 -0.008423
0.002260 -0.009966
0.002776 -0.011613
0.003381 -0.013345
0.004075 -0.015199
0.004916 -0.017101
0.005777 -0.019184
0.006842 -0.021438
0.008096 -0.023582
0.009417 -0.026054
0.011069 -0.028498
0.012872 -0.031112
0.014980 -0.033797
0.017253 -0.036590
0.019929 -0.039543
0.022708 -0.042391
0.026177 -0.045224
0.029575 -0.048344
0.033811 -0.051335
0.038000 -0.054583
0.042791 -0.057637
0.048220 -0.060869
0.054003 -0.063763
0.060455 -0.067022
0.066908 -0.069896
0.074747 -0.072762
0.082356 -0.075577
0.091642 -0.078308
0.100816 -0.081466
0.111136 -0.083506
0.122261 -0.086148
0.134419 -0.087220
0.147362 -0.089863
0.160553 -0.092502
0.175746 -0.093834
0.191039 -0.095018
0.208403 -0.096286
0.226264 -0.096582
0.245928 -0.096346
0.266876 -0.096099
0.289133 -0.094588
0.312761 -0.093403
0.338021 -0.091017
0.364919 -0.088445
0.393890 -0.083910
0.424946 -0.080704
0.457925 -0.075566
0.492842 -0.069263
0.530697 -0.063728
0.567919 -0.058164
0.602340 -0.053046
0.633802 -0.046343
0.662751 -0.041992
0.689562 -0.037548
0.714248 -0.032568
0.737058 -0.028354
0.758016 -0.024780
0.777377 -0.021659
0.795168 -0.018701
0.811612 -0.016845
0.826772 -0.014599
0.840739 -0.012827
0.853612 -0.011216
0.865461 -0.009949
0.876293 -0.008728
0.886296 -0.007918
0.895453 -0.007158
0.903892 -0.006270
0.911669 -0.005846
0.918826 -0.005388
0.925429 -0.005231
0.931530 -0.004873
0.937133 -0.004708
0.942286 -0.004367
0.947007 -0.004324
0.951381 -0.004118
0.955392 -0.003967
0.959086 -0.003834
0.962487 -0.003599
0.965619 -0.003637
0.968489 -0.003538
0.971146 -0.003349
0.973587 -0.003399
0.975821 -0.003253
0.977873 -0.003253
0.979776 -0.003131
0.981526 -0.003039
0.983133 -0.003032
0.984604 -0.002985
0.985969 -0.002912
0.987218 -0.002884
0.988366 -0.002833
0.989426 -0.002856
0.990406 -0.002757
0.991294 -0.002788
0.992127 -0.002758
0.992875 -0.002768
0.993578 -0.002743
0.994214 -0.002731
0.994807 -0.002730
0.995345 -0.002685
0.995853 -0.002666
0.996311 -0.002666
0.996736 -0.002640
0.997129 -0.002656
0.997493 -0.002648
0.997821 -0.002636
0.998121 -0.002620
0.998401 -0.002619
0.998655 -0.002604
0.998893 -0.002592
0.999112 -0.002581
0.999314 -0.002586
