Generated Airfoil
1.000000 0.000000
0.999947 0.002642
0.999749 0.002713
0.999528 0.002772
0.999284 0.002879
0.999030 0.002929
0.998751 0.003008
0.998437 0.003107
0.998108 0.003232
0.997770 0.003325
0.997391 0.003437
0.996984 0.003563
0.996524 0.003731
0.996062 0.003892
0.995543 0.004058
0.994977 0.004255
0.994378 0.004477
0.993724 0.004728
0.993019 0.004979
0.992263 0.005273
0.991444 0.005546
0.990538 0.005867
0.989584 0.006285
0.988553 0.006631
0.987411 0.006990
0.986201 0.007415
0.984882 0.007854
0.983480 0.008329
0.981950 0.008855
0.980276 0.009399
0.978498 0.009996
0.976550 0.010597
0.974475 0.011248
0.972214 0.011976
0.969782 0.012746
0.967140 0.013608
0.964235 0.014488
0.961199 0.015494
0.957868 0.016580
0.954208 0.017633
0.950325 0.018921
0.946128 0.020294
0.941579 0.021543
0.936550 0.023141
0.931349 0.024819
0.925526 0.026373
0.919248 0.028338
0.912554 0.030363
0.905298 0.032424
0.897388 0.034882
0.888881 0.037330
0.879725 0.039873
0.869703 0.042988
0.858909 0.046006
0.847266 0.049417
0.834651 0.052536
0.820987 0.056040
0.806191 0.060052
0.790205 0.063909
0.772947 0.067945
0.754213 0.072495
0.733947 0.077778
0.711955 0.082480
0.688463 0.087804
0.662564 0.093030
0.634693 0.098894
0.604447 0.104394
0.571746 0.110342
0.535990 0.115891
0.500680 0.120192
0.466930 0.124522
0.435643 0.127094
0.405639 0.130424
0.377563 0.130073
0.351182 0.132093
0.326844 0.131822
0.302836 0.131527
0.281040 0.131065
0.260622 0.129636
0.240987 0.127816
0.223171 0.126629
0.205666 0.124669
0.189323 0.121945
0.174541 0.119266
0.160879 0.116350
0.147674 0.114133
0.135047 0.110434
0.123136 0.107123
0.112910 0.104778
0.103110 0.100810
0.093213 0.097246
0.084847 0.093410
0.076594 0.090081
0.069149 0.086890
0.062397 0.083355
0.056159 0.079331
0.049872 0.076157
0.044497 0.072581
0.039538 0.068932
0.035057 0.065312
0.030756 0.061741
0.027031 0.058022
0.023397 0.054678
0.020372 0.051378
0.017563 0.048074
0.015179 0.044973
0.012976 0.041830
0.010890 0.038726
0.009221 0.035937
0.007594 0.033129
0.006333 0.030464
0.005190 0.027976
0.004134 0.025526
0.003440 0.023205
0.002604 0.020977
0.002076 0.018897
0.001624 0.016908
0.001168 0.015022
0.000803 0.013259
0.000528 0.011553
0.000365 0.009949
0.000158 0.008435
0.000057 0.007012
-0.000003 0.005657
-0.000063 0.004380
-0.000079 0.003183
-0.000060 0.002056
-0.000027 0.000997
0.000000 0.000000
0.000058 -0.000995
0.000142 -0.002059
0.000254 -0.003193
0.000396 -0.004412
0.000572 -0.005717
0.000787 -0.007097
0.001046 -0.008581
0.001360 -0.010151
0.001731 -0.011801
0.002173 -0.013585
0.002698 -0.015459
0.003307 -0.017428
0.004021 -0.019580
0.004866 -0.021757
0.005845 -0.024161
0.007041 -0.026596
0.008381 -0.029192
0.009924 -0.031916
0.011855 -0.034758
0.013923 -0.037620
0.016421 -0.040689
0.019324 -0.043866
0.022425 -0.047045
0.025985 -0.050176
0.029906 -0.053406
0.034251 -0.056769
0.038892 -0.060123
0.044109 -0.063862
0.049935 -0.067282
0.056067 -0.070462
0.062999 -0.074302
0.069802 -0.078044
0.077984 -0.081955
0.085964 -0.085197
0.095257 -0.088739
0.105682 -0.091592
0.116275 -0.095273
0.128102 -0.098068
0.140810 -0.100520
0.154506 -0.103404
0.169225 -0.105337
0.185409 -0.107383
0.202687 -0.109721
0.220859 -0.110579
0.240560 -0.112024
0.261395 -0.112255
0.284225 -0.112736
0.307803 -0.111610
0.333615 -0.111012
0.361004 -0.110139
0.390483 -0.107992
0.421665 -0.105547
0.455161 -0.101617
0.490661 -0.098204
0.529230 -0.092882
0.567542 -0.087417
0.602566 -0.082958
0.634870 -0.077003
0.664546 -0.072616
0.691853 -0.067474
0.716873 -0.062892
0.739933 -0.058551
0.761063 -0.054112
0.780540 -0.050657
0.798343 -0.047029
0.814612 -0.042684
0.829700 -0.039624
0.843468 -0.036896
0.856182 -0.034505
0.867962 -0.031847
0.878667 -0.029539
0.888603 -0.027271
0.897693 -0.025314
0.906172 -0.023713
0.913904 -0.022291
0.920907 -0.020447
0.927463 -0.018934
0.933439 -0.017634
0.938993 -0.016432
0.944016 -0.015252
0.948678 -0.014212
0.952982 -0.013137
0.956895 -0.012341
0.960538 -0.011560
0.963873 -0.010829
0.966949 -0.010027
0.969754 -0.009385
0.972374 -0.008699
0.974758 -0.008162
0.976949 -0.007760
0.978944 -0.007249
0.980795 -0.006828
0.982517 -0.006369
0.984090 -0.006135
0.985537 -0.005784
0.986852 -0.005444
0.988078 -0.005213
0.989207 -0.004972
0.990236 -0.004714
0.991186 -0.004456
0.992067 -0.004305
0.992872 -0.004168
0.993605 -0.003967
0.994291 -0.003814
0.994915 -0.003704
0.995484 -0.003569
0.996019 -0.003459
0.996503 -0.003328
0.996946 -0.003234
0.997357 -0.003150
0.997739 -0.003084
0.998084 -0.002975
0.998400 -0.002908
0.998696 -0.002843
0.998977 -0.002799
0.999218 -0.002717
0.999452 -0.002657
0.999660 -0.002619
0.999859 -0.002570
